"index","label","n","delta_AIC","F_stat","p_value"
"tr_max_vel","TR Vmax",742,-71.9445474701552,27.1367699119053,1.186774904303e-16
"la_vol_index","LAVI",767,-71.0136704528304,26.757821223639,1.85126410200011e-16
"mv_a_point","MV A point",1029,-47.5838399795139,18.209785437222,1.6254076269497e-11
"mv_e_a","MV E/A",1023,-19.6391938249171,8.59517767648388,1.22758103442058e-05
"e_prime_ave","Avg e'",873,-16.545219857705,7.55190926062508,5.44399840794735e-05
"lat_peak_e_vel","Lateral e'",863,-14.1177030227418,6.72964163409907,0.000172506343845098
"mv_dec_time","MV decel time",821,-14.0034873688173,6.69217358176602,0.00018276352360905
"med_peak_e_vel","Septal e'",863,-10.57356627841,5.53266764837998,0.000917370580736525
"e_e_lat","E/e' (lat)",835,-1.32709250321477,2.43254639973365,0.0637707459214325
"e_e_ave","E/e' (avg)",825,3.63961827093681,0.781235133379375,0.504563548774807
"e_e_med","E/e' (med)",835,4.52750647874018,0.487145827534268,0.69129324492971
"mv_a_dur","MV A dur",255,4.798898054951,0.390295303303035,0.760092601111189
