"outcome","mode","predictor_set_name","qc_variant","n_complete","n","r2","adj_r2","aic","bic","n_predictors","clinical_knots_protected","outcome_label"
"VO2_FRIEND2_PP","mars","heart_bmi_primary","complete_case",142,142,0.163,0.106,1417.5,1447.1,9,FALSE,"Peak VO₂ (% Predicted)"
"VO2_FRIEND2_PP","additive","heart_bmi_primary","complete_case",142,142,0.202,0.092,1426.9,1480.1,9,FALSE,"Peak VO₂ (% Predicted)"
"VO2_FRIEND2_PP","mars","heart_lbmi_sensitivity","lbmi_sensitivity",142,142,0.227,0.174,1406.3,1435.9,9,FALSE,"Peak VO₂ (% Predicted)"
"VO2_FRIEND2_PP","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity",242,242,0.145,0.108,2432.9,2471.3,10,FALSE,"Peak VO₂ (% Predicted)"
"VO2_FRIEND2_PP","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity",222,222,0.162,0.127,2206,2240,9,FALSE,"Peak VO₂ (% Predicted)"
"VO2_FRIEND2_PP","mars","heart_bmi_imputed","imputed_predictors",582,582,0.19,0.177,5753.4,5797.1,9,FALSE,"Peak VO₂ (% Predicted)"
"VeVco2_slope","mars","heart_bmi_primary","complete_case",142,142,0.164,0.1,900,932.5,9,FALSE,"VE/VCO₂ Slope"
"VeVco2_slope","additive","heart_bmi_primary","complete_case",142,142,0.19,0.079,909.4,962.6,9,FALSE,"VE/VCO₂ Slope"
"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity",142,142,0.173,0.11,898.3,930.8,9,FALSE,"VE/VCO₂ Slope"
"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity",242,242,0.121,0.083,1503.3,1541.7,10,FALSE,"VE/VCO₂ Slope"
"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity",222,222,0.196,0.158,1436.1,1473.6,9,FALSE,"VE/VCO₂ Slope"
"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors",579,579,0.196,0.182,3703.7,3751.7,9,FALSE,"VE/VCO₂ Slope"
"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity",142,142,0.206,0.126,898.6,939.9,9,TRUE,"VE/VCO₂ Slope"
