"step","n_rows","details"
"initial_rows",582,"Raw baseline rows entering OMARX"
"implausible_e_e_removed",7,"E/e' > 30 set to missing"
"implausible_medial_e_removed",1,"Septal e' > 30 set to missing"
"implausible_trv_removed",3,"TR Vmax > 400 set to missing"
"negative_lvot_clipped",0,"Negative LVOT gradients clipped to zero"
"missing_lvot_documented",200,"Missing LVOT gradients retained for continuous model and coded to 0 only for max_pg_30"
"model_fit",142,"VO2_FRIEND2_PP | mars | complete_case | heart_bmi_primary | AIC=1417.52 | R2=0.1634"
"model_fit",142,"VO2_FRIEND2_PP | additive | complete_case | heart_bmi_primary | AIC=1426.89 | R2=0.2015"
"model_fit",142,"VO2_FRIEND2_PP | mars | lbmi_sensitivity | heart_lbmi_sensitivity | AIC=1406.3 | R2=0.2269"
"model_fit",242,"VO2_FRIEND2_PP | mars | trv_missing_sensitivity | heart_trv_missing_sensitivity | AIC=2432.95 | R2=0.1446"
"model_fit",222,"VO2_FRIEND2_PP | mars | binary_lvot_sensitivity | heart_binary_lvot_sensitivity | AIC=2205.99 | R2=0.1625"
"model_fit",582,"VO2_FRIEND2_PP | mars | imputed_predictors | heart_bmi_imputed | AIC=5753.44 | R2=0.1896"
"model_fit",142,"VeVco2_slope | mars | complete_case | heart_bmi_primary | AIC=900.01 | R2=0.1636"
"model_fit",142,"VeVco2_slope | additive | complete_case | heart_bmi_primary | AIC=909.44 | R2=0.19"
"model_fit",142,"VeVco2_slope | mars | lbmi_sensitivity | heart_lbmi_sensitivity | AIC=898.33 | R2=0.1734"
"model_fit",242,"VeVco2_slope | mars | trv_missing_sensitivity | heart_trv_missing_sensitivity | AIC=1503.31 | R2=0.1214"
"model_fit",222,"VeVco2_slope | mars | binary_lvot_sensitivity | heart_binary_lvot_sensitivity | AIC=1436.13 | R2=0.196"
"model_fit",579,"VeVco2_slope | mars | imputed_predictors | heart_bmi_imputed | AIC=3703.69 | R2=0.1961"
"model_fit",142,"VeVco2_slope | mars | clinical_knot_sensitivity | heart_bmi_clinical_knots | AIC=898.56 | R2=0.2063"
